Company,Industry,Region,Founded_Year,Year,Revenue_USD,Expenses_USD,Profit_USD,Churn_Rate,Customer_Count,ARPU_USD,Market_Share_Percent
Smith-Crawford,E-Commerce,South America,2006,2020,159715511.4,91576708.21,68138803.19,0.1971,12284,13001.91,2.42
Smith-Crawford,E-Commerce,South America,2006,2021,32886915.03,17207533.84,15679381.19,0.2179,45131,728.7,2.23
Smith-Crawford,E-Commerce,South America,2006,2022,130875917.64,68391125.69,62484791.95,0.1833,3433,38122.9,2.81
Smith-Crawford,E-Commerce,South America,2006,2023,38314092.95,23819752.71,14494340.24,0.1359,28480,1345.3,4.44
Smith-Crawford,E-Commerce,South America,2006,2024,123146873.16,68444729.68,54702143.47,0.0801,1189,103571.8,1.45
"Gutierrez, House and Vasquez",HealthTech,Europe,2018,2020,77727474.27,69433358.49,8294115.78,0.122,4556,17060.46,9.15
"Gutierrez, House and Vasquez",HealthTech,Europe,2018,2021,35763776.49,18812484.5,16951291.99,0.2377,44323,806.89,8.49
"Gutierrez, House and Vasquez",HealthTech,Europe,2018,2022,78312467.5,39656376.39,38656091.11,0.0654,24483,3198.65,1.92
"Gutierrez, House and Vasquez",HealthTech,Europe,2018,2023,100045028.2,51398674.33,48646353.88,0.2282,27531,3633.9,2.82
"Gutierrez, House and Vasquez",HealthTech,Europe,2018,2024,151561559.24,101555694.53,50005864.72,0.0599,41757,3629.61,0.57
Prince Group,HealthTech,Asia,2017,2020,155476299.03,136166076.86,19310222.16,0.2248,33606,4626.44,13.84
Prince Group,HealthTech,Asia,2017,2021,19521515.41,11291110.69,8230404.72,0.0209,25276,772.33,5.89
Prince Group,HealthTech,Asia,2017,2022,55727108.29,46336812.11,9390296.18,0.0956,22243,2505.38,9.14
Prince Group,HealthTech,Asia,2017,2023,56647838.04,35037220.45,21610617.59,0.0497,49984,1133.32,14.8
Prince Group,HealthTech,Asia,2017,2024,154904464.32,89765010.64,65139453.68,0.0113,6258,24753.03,3.06
Randall-Fletcher,AI/ML,Australia,2007,2020,146343419.27,118319845.52,28023573.75,0.0278,27854,5253.95,9.8
Randall-Fletcher,AI/ML,Australia,2007,2021,183162015.76,153858919.63,29303096.13,0.1179,24599,7445.91,5.63
Randall-Fletcher,AI/ML,Australia,2007,2022,134430568.03,103023412.28,31407155.75,0.1519,11965,11235.32,13.32
Randall-Fletcher,AI/ML,Australia,2007,2023,95498555.18,52317708.67,43180846.51,0.1812,18412,5186.76,8.46
